observation_date,NGDPRSAXDCCAQ
2020-01-01,552844.000000
2020-04-01,492031.500000
2020-07-01,536725.312500
2020-10-01,546807.000000
2021-01-01,554680.312500
2021-04-01,552950.500000
2021-07-01,562240.812500
2021-10-01,571064.312500
2022-01-01,576553.812500
2022-04-01,581970.312500
2022-07-01,584635.812500
2022-10-01,583376.812500
2023-01-01,588322.812500
2023-04-01,589342.500000
2023-07-01,588909.500000
2023-10-01,589018.500000
2024-01-01,591591.812500
2024-04-01,594729.312500
2024-07-01,595918.687500
