"REF_DATE","GEO","DGUID","Prices","Seasonal adjustment","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-01","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Final consumption expenditure","Percent","239","units","0","v62305816","1.3.1.1","-1.227","","","","3"
"2020-04","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Final consumption expenditure","Percent","239","units","0","v62305816","1.3.1.1","-9.016","","","","3"
"2020-07","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Final consumption expenditure","Percent","239","units","0","v62305816","1.3.1.1","8.356","","","","3"
"2020-10","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Final consumption expenditure","Percent","239","units","0","v62305816","1.3.1.1","0.612","","","","3"
"2021-01","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Final consumption expenditure","Percent","239","units","0","v62305816","1.3.1.1","0.546","","","","3"
"2021-04","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Final consumption expenditure","Percent","239","units","0","v62305816","1.3.1.1","0.218","","","","3"
"2021-07","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Final consumption expenditure","Percent","239","units","0","v62305816","1.3.1.1","2.916","","","","3"
"2021-10","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Final consumption expenditure","Percent","239","units","0","v62305816","1.3.1.1","0.723","","","","3"
"2022-01","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Final consumption expenditure","Percent","239","units","0","v62305816","1.3.1.1","0.503","","","","3"
"2022-04","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Final consumption expenditure","Percent","239","units","0","v62305816","1.3.1.1","1.076","","","","3"
"2022-07","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Final consumption expenditure","Percent","239","units","0","v62305816","1.3.1.1","0.276","","","","3"
"2022-10","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Final consumption expenditure","Percent","239","units","0","v62305816","1.3.1.1","0.221","","","","3"
"2023-01","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Final consumption expenditure","Percent","239","units","0","v62305816","1.3.1.1","0.535","","","","3"
"2023-04","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Final consumption expenditure","Percent","239","units","0","v62305816","1.3.1.1","0.177","","","","3"
"2023-07","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Final consumption expenditure","Percent","239","units","0","v62305816","1.3.1.1","0.406","","","","3"
"2023-10","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Final consumption expenditure","Percent","239","units","0","v62305816","1.3.1.1","0.072","","","","3"
"2024-01","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Final consumption expenditure","Percent","239","units","0","v62305816","1.3.1.1","0.619","","","","3"
"2024-04","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Final consumption expenditure","Percent","239","units","0","v62305816","1.3.1.1","0.329","","","","3"
"2024-07","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Final consumption expenditure","Percent","239","units","0","v62305816","1.3.1.1","0.706","","","","3"
"2020-01","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Household final consumption expenditure","Percent","239","units","0","v62305817","1.3.1.2","-1.215","","","","3"
"2020-04","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Household final consumption expenditure","Percent","239","units","0","v62305817","1.3.1.2","-8.098","","","","3"
"2020-07","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Household final consumption expenditure","Percent","239","units","0","v62305817","1.3.1.2","6.952","","","","3"
"2020-10","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Household final consumption expenditure","Percent","239","units","0","v62305817","1.3.1.2","0.259","","","","3"
"2021-01","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Household final consumption expenditure","Percent","239","units","0","v62305817","1.3.1.2","0.270","","","","3"
"2021-04","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Household final consumption expenditure","Percent","239","units","0","v62305817","1.3.1.2","-0.021","","","","3"
"2021-07","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Household final consumption expenditure","Percent","239","units","0","v62305817","1.3.1.2","2.795","","","","3"
"2021-10","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Household final consumption expenditure","Percent","239","units","0","v62305817","1.3.1.2","0.532","","","","3"
"2022-01","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Household final consumption expenditure","Percent","239","units","0","v62305817","1.3.1.2","0.252","","","","3"
"2022-04","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Household final consumption expenditure","Percent","239","units","0","v62305817","1.3.1.2","1.025","","","","3"
"2022-07","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Household final consumption expenditure","Percent","239","units","0","v62305817","1.3.1.2","0.020","","","","3"
"2022-10","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Household final consumption expenditure","Percent","239","units","0","v62305817","1.3.1.2","0.022","","","","3"
