,timestamp,open,high,low,close,volume
0,2024-12-20,16.36,16.57,16.3,16.43,1929700
1,2024-12-19,16.65,16.72,16.36,16.42,2909400
2,2024-12-18,16.88,16.91,16.49,16.55,917900
3,2024-12-17,16.83,16.9,16.64,16.85,2662100
4,2024-12-16,17.17,17.19,16.89,16.97,1757900
5,2024-12-13,17.26,17.32,17.1,17.28,914100
6,2024-12-12,17.55,17.55,17.23,17.29,1699200
7,2024-12-11,17.44,17.6,17.35,17.59,1288600
8,2024-12-10,17.54,17.56,17.36,17.36,1009100
9,2024-12-09,17.56,17.72,17.46,17.49,1419700
10,2024-12-06,17.72,17.72,17.35,17.41,3089500
11,2024-12-05,17.67,17.87,17.67,17.76,1410900
12,2024-12-04,18.0,18.05,17.53,17.61,2671300
13,2024-12-03,17.93,18.05,17.82,18.0,474500
14,2024-12-02,18.02,18.08,17.76,17.87,724200
15,2024-11-29,17.96,18.08,17.93,17.99,734800
16,2024-11-28,17.84,18.0,17.84,17.98,523300
17,2024-11-27,17.84,18.05,17.8,17.87,1122800
18,2024-11-26,18.26,18.28,17.74,17.86,2314200
19,2024-11-25,18.56,18.63,18.18,18.27,1487100
20,2024-11-22,18.5,18.64,18.39,18.6,1137800
21,2024-11-21,18.3,18.56,18.25,18.51,1685400
22,2024-11-20,18.01,18.19,18.01,18.17,822500
23,2024-11-19,17.88,18.08,17.84,17.99,436300
24,2024-11-18,17.95,18.12,17.95,18.05,808800
25,2024-11-15,18.02,18.16,17.83,17.87,1041900
26,2024-11-14,17.8,18.09,17.8,18.07,2116800
27,2024-11-13,17.72,17.79,17.35,17.67,865400
28,2024-11-12,17.73,17.87,17.45,17.52,1499100
29,2024-11-11,17.71,17.87,17.58,17.72,441600
30,2024-11-08,17.85,17.85,17.59,17.74,765900
31,2024-11-07,17.88,17.97,17.69,17.93,809200
32,2024-11-06,17.45,17.85,17.45,17.83,1577300
33,2024-11-05,17.51,17.61,17.41,17.5,355800
34,2024-11-04,17.42,17.61,17.39,17.5,632200
35,2024-11-01,17.61,17.71,17.21,17.27,983900
36,2024-10-31,17.66,17.66,17.27,17.43,2711300
37,2024-10-30,17.62,17.72,17.54,17.64,760200
38,2024-10-29,17.66,17.72,17.45,17.58,845500
39,2024-10-28,17.5,17.71,17.43,17.71,1068800
40,2024-10-25,17.82,18.05,17.82,18.01,911000
41,2024-10-24,17.67,17.84,17.54,17.77,531600
42,2024-10-23,17.85,17.85,17.55,17.68,748200
43,2024-10-22,17.83,17.93,17.75,17.87,728600
44,2024-10-21,17.94,18.01,17.81,17.86,783700
45,2024-10-18,17.79,17.83,17.61,17.79,1473200
46,2024-10-17,17.67,17.88,17.67,17.87,709000
47,2024-10-16,17.75,17.85,17.66,17.67,582300
48,2024-10-15,17.98,17.98,17.7,17.74,2382300
49,2024-10-11,18.55,18.69,18.52,18.64,594100
50,2024-10-10,18.24,18.65,18.24,18.6,1691300
51,2024-10-09,18.02,18.22,17.91,18.2,530800
52,2024-10-08,18.29,18.29,17.97,18.13,2067800
53,2024-10-07,18.38,18.65,18.34,18.55,1904100
54,2024-10-04,18.14,18.23,17.98,18.23,1349400
55,2024-10-03,17.59,17.99,17.48,17.99,1932300
56,2024-10-02,17.81,17.81,17.31,17.49,1092800
57,2024-10-01,16.78,17.51,16.73,17.46,2735600
58,2024-09-30,16.71,16.99,16.71,16.89,1537400
59,2024-09-27,16.54,16.82,16.52,16.8,1068100
60,2024-09-26,16.68,16.7,16.43,16.44,2967400
61,2024-09-25,17.2,17.25,16.86,16.96,934927
62,2024-09-24,17.38,17.44,17.23,17.26,973360
63,2024-09-23,17.18,17.43,17.09,17.24,1562097
64,2024-09-20,17.25,17.25,16.99,17.14,3883355
65,2024-09-19,17.27,17.32,17.15,17.27,674267
66,2024-09-18,17.0,17.13,16.85,16.97,947072
67,2024-09-17,16.87,17.05,16.8,17.05,880284
68,2024-09-16,16.79,16.825,16.54,16.79,604044
69,2024-09-13,16.75,16.835,16.625,16.64,2448192
70,2024-09-12,16.56,16.67,16.46,16.6,923162
71,2024-09-11,16.6,16.6,16.23,16.45,1747132
72,2024-09-10,16.86,16.86,16.26,16.45,2019623
73,2024-09-09,16.95,17.05,16.825,16.84,826553
74,2024-09-06,17.17,17.29,16.81,16.87,2397292
75,2024-09-05,17.53,17.56,17.115,17.13,1041289
76,2024-09-04,17.61,17.73,17.365,17.38,1113501
77,2024-09-03,17.9,17.9,17.54,17.66,2093329
78,2024-08-30,18.31,18.31,18.015,18.2,1077876
79,2024-08-29,18.36,18.51,18.3,18.445,881682
80,2024-08-28,18.26,18.36,18.19,18.28,516721
81,2024-08-27,18.65,18.65,18.36,18.36,635145
82,2024-08-26,18.68,18.88,18.6,18.73,961658
83,2024-08-23,18.4,18.495,18.33,18.46,613827
84,2024-08-22,18.25,18.37,18.2,18.255,1357616
85,2024-08-21,18.3,18.41,18.165,18.22,1061933
86,2024-08-20,18.65,18.65,18.2,18.25,1245598
87,2024-08-19,18.76,18.95,18.635,18.67,959073
88,2024-08-16,18.75,18.93,18.75,18.76,695741
