,timestamp,open,high,low,close,volume
0,20/12/2024,59.08,59.89,58.92,59.61,412100
1,19/12/2024,59.64,59.64,59.28,59.29,355000
2,18/12/2024,60.52,60.52,59.19,59.37,602500
3,17/12/2024,60.46,60.69,60.41,60.58,165200
4,16/12/2024,60.6,60.93,60.56,60.77,136900
5,13/12/2024,60.82,60.88,60.58,60.7,196800
6,12/12/2024,61.11,61.11,60.69,60.8,217300
7,11/12/2024,61.2,61.36,61.1,61.22,200200
8,10/12/2024,61.06,61.18,60.94,61.02,105100
9,09/12/2024,61.2,61.36,60.95,61.15,66800
10,06/12/2024,61.18,61.5,61.18,61.31,115600
11,05/12/2024,60.44,61.17,60.41,61.04,57700
12,04/12/2024,60.93,61.22,60.8,60.88,132300
13,03/12/2024,60.95,61.18,60.68,60.81,201000
14,02/12/2024,61.05,61.29,60.84,61.08,130400
15,29/11/2024,60.72,61.09,60.72,61,59600
16,28/11/2024,60.9,61.02,60.79,60.83,18200
17,27/11/2024,60.52,60.87,60.52,60.86,37800
18,26/11/2024,60.23,60.66,60.07,60.6,87900
19,25/11/2024,60.56,60.72,60.32,60.35,165500
20,22/11/2024,60.11,60.36,60.11,60.29,131700
21,21/11/2024,59.59,60.29,59.49,60.17,241200
22,20/11/2024,59.7,59.71,59.43,59.71,175900
23,19/11/2024,59.11,59.65,58.99,59.64,156300
24,18/11/2024,59.46,59.72,59.43,59.53,125700
25,15/11/2024,59.71,59.78,59.38,59.54,236700
26,14/11/2024,59.68,60,59.68,59.82,119600
27,13/11/2024,59.59,59.69,59.4,59.5,115300
28,12/11/2024,59.68,59.68,59.27,59.55,230000
29,11/11/2024,59.41,59.9,59.41,59.67,121600
30,08/11/2024,59.14,59.15,58.89,59.13,70900
31,07/11/2024,58.9,59.32,58.9,59.15,230700
32,06/11/2024,58.88,58.94,58.25,58.86,447900
33,05/11/2024,57.49,57.92,57.49,57.88,136100
34,04/11/2024,57.27,57.7,57.23,57.45,186900
35,01/11/2024,57.1,57.47,57.1,57.4,227000
36,31/10/2024,57.38,57.39,56.77,56.92,269000
37,30/10/2024,57.55,57.94,57.55,57.72,115800
38,29/10/2024,57.82,57.88,57.56,57.73,151600
39,28/10/2024,57.38,57.91,57.38,57.86,141600
40,25/10/2024,57.72,57.95,57.38,57.47,109600
41,24/10/2024,57.4,57.77,57.4,57.74,81000
42,23/10/2024,57.52,57.7,57.23,57.61,106000
43,22/10/2024,57.51,57.71,57.29,57.67,169200
44,21/10/2024,58.09,58.18,57.68,57.8,203500
45,18/10/2024,58.01,58.25,57.86,58.14,155700
46,17/10/2024,57.77,58.09,57.77,58.01,1262400
47,16/10/2024,57.27,57.72,57.27,57.66,151800
48,15/10/2024,57.04,57.34,57,57.24,135400
