,timestamp,open,high,low,close,volume
0,2024-12-20,67.68,69.38,67.68,68.92,5800
1,2024-12-19,69.23,69.47,68.0,68.0,10300
2,2024-12-18,71.55,71.85,68.55,68.61,32300
3,2024-12-17,70.73,71.9,70.73,71.74,12700
4,2024-12-16,71.3,71.7,71.14,71.2,6900
5,2024-12-13,71.09,71.21,70.84,71.21,2300
6,2024-12-12,71.41,71.41,70.74,70.84,7100
7,2024-12-11,71.28,71.55,70.82,71.41,13000
8,2024-12-10,70.99,71.31,70.16,70.42,20600
9,2024-12-09,71.82,71.82,70.59,71.28,11800
10,2024-12-06,71.06,72.26,71.06,71.78,15300
11,2024-12-05,70.26,70.77,70.26,70.46,7400
12,2024-12-04,69.88,71.08,69.87,70.55,29600
13,2024-12-03,69.48,70.0,69.36,69.54,13000
14,2024-12-02,70.38,70.38,69.49,69.79,18100
15,2024-11-29,69.48,70.5,69.48,70.31,13500
16,2024-11-28,69.44,69.7,69.44,69.56,2800
17,2024-11-27,69.27,69.35,68.87,69.2,19800
18,2024-11-26,68.55,69.75,68.55,69.36,18500
19,2024-11-25,67.76,68.88,67.76,68.52,16100
20,2024-11-22,67.77,68.0,67.42,67.68,11500
21,2024-11-21,66.64,67.9,66.48,67.86,38800
22,2024-11-20,66.3,66.4,65.61,66.36,15600
23,2024-11-19,65.62,66.44,65.26,66.19,14000
24,2024-11-18,66.48,66.9,66.15,66.16,17100
25,2024-11-15,66.32,66.55,65.01,66.44,36400
26,2024-11-14,68.9,68.9,66.58,66.67,16300
27,2024-11-13,66.88,68.98,66.88,68.98,15800
28,2024-11-12,65.82,68.3,65.82,67.05,27500
29,2024-11-11,62.71,63.8,62.71,63.33,11100
30,2024-11-08,61.75,62.28,61.75,62.11,4400
31,2024-11-07,61.07,61.98,61.07,61.95,20300
32,2024-11-06,59.89,60.9,59.89,60.9,10000
33,2024-11-05,58.81,59.32,58.81,59.18,9400
34,2024-11-04,58.57,58.77,58.48,58.63,7500
35,2024-11-01,58.28,59.0,58.27,58.71,10900
36,2024-10-31,59.2,59.2,57.96,58.0,9500
37,2024-10-30,59.95,60.25,59.64,59.66,4200
38,2024-10-29,59.26,60.16,59.26,60.16,4000
39,2024-10-28,59.27,59.87,59.27,59.76,4200
40,2024-10-25,59.54,60.1,59.15,59.15,7600
