,timestamp,open,high,low,close,volume
0,2024-12-20,20.81,21.22,20.81,21.05,15300
1,2024-12-19,20.98,21.03,20.75,20.75,2200
2,2024-12-18,21.65,21.65,21.0,21.0,29100
3,2024-12-17,21.57,21.77,21.49,21.74,20100
4,2024-12-16,22.05,22.05,21.79,21.79,6700
5,2024-12-13,22.3,22.31,21.98,22.08,37100
6,2024-12-12,22.74,22.74,22.47,22.47,16100
7,2024-12-11,22.71,23.03,22.71,23.03,20900
8,2024-12-10,22.79,22.81,22.56,22.56,6300
9,2024-12-09,22.86,23.13,22.68,22.71,52200
10,2024-12-06,22.47,22.47,22.21,22.23,5400
11,2024-12-05,22.64,22.64,22.32,22.46,23400
12,2024-12-04,22.63,22.71,22.53,22.53,6000
13,2024-12-03,22.27,22.69,22.27,22.64,53100
14,2024-12-02,22.2,22.2,22.02,22.08,8000
15,2024-11-29,22.3,22.33,22.23,22.25,18500
16,2024-11-28,22.16,22.17,22.14,22.14,1200
17,2024-11-27,22.22,22.23,22.06,22.06,32600
18,2024-11-26,21.94,22.13,21.94,22.13,2400
19,2024-11-25,22.03,22.08,21.95,22.03,6000
20,2024-11-22,22.46,22.53,22.38,22.52,9600
21,2024-11-21,22.25,22.41,22.13,22.41,3800
22,2024-11-20,22.02,22.15,22.02,22.15,10700
23,2024-11-19,21.81,22.06,21.81,22.06,21900
24,2024-11-18,21.47,21.71,21.47,21.65,6900
25,2024-11-15,21.34,21.35,21.05,21.09,4000
26,2024-11-14,20.9,21.24,20.9,21.22,22900
27,2024-11-13,21.5,21.5,21.03,21.03,358800
28,2024-11-12,21.41,21.46,21.14,21.32,32500
29,2024-11-11,21.96,22.0,21.5,21.64,41600
30,2024-11-08,22.64,22.83,22.37,22.54,10300
31,2024-11-07,22.71,23.0,22.6,23.0,13900
32,2024-11-06,22.25,22.63,22.12,22.51,11800
33,2024-11-05,23.02,23.02,22.8,22.96,11600
34,2024-11-04,23.0,23.06,22.79,22.82,28500
35,2024-11-01,23.08,23.11,22.92,22.92,85700
36,2024-10-31,23.02,23.03,22.76,22.94,23400
37,2024-10-30,23.47,23.55,23.33,23.52,18800
38,2024-10-29,23.48,23.71,23.48,23.71,4200
39,2024-10-28,23.36,23.5,23.36,23.4,8000
40,2024-10-25,23.42,23.58,23.39,23.42,20127
41,2024-10-24,23.48,23.56,23.27,23.56,6500
42,2024-10-23,23.72,23.81,23.55,23.73,2800
43,2024-10-22,23.73,23.95,23.65,23.95,45127
44,2024-10-21,23.8,23.94,23.56,23.57,14073
45,2024-10-18,23.04,23.62,23.04,23.58,21400
46,2024-10-17,22.81,22.95,22.75,22.84,36600
47,2024-10-16,22.98,22.98,22.67,22.71,12400
48,2024-10-15,22.51,22.62,22.45,22.61,36000
49,2024-10-11,22.61,22.69,22.55,22.57,3000
50,2024-10-10,22.25,22.46,22.14,22.46,191200
51,2024-10-09,21.79,21.96,21.66,21.96,66600
52,2024-10-08,21.87,21.87,21.67,21.85,6800
53,2024-10-07,22.11,22.11,21.98,22.07,23300
54,2024-10-04,22.2,22.45,22.18,22.21,55700
55,2024-10-03,22.06,22.14,21.95,22.14,112500
56,2024-10-02,22.37,22.6,22.29,22.41,66900
57,2024-10-01,22.25,22.37,22.07,22.36,141500
58,2024-09-30,22.17,22.2,21.96,22.14,76600
59,2024-09-27,22.67,22.74,22.38,22.44,77800
60,2024-09-26,22.68,23.01,22.67,22.86,23100
61,2024-09-25,22.5,22.58,22.44,22.51,131300
62,2024-09-24,22.36,22.53,22.26,22.44,112900
63,2024-09-23,22.24,22.48,22.11,22.11,102500
64,2024-09-20,22.32,22.35,22.15,22.25,64300
65,2024-09-19,22.27,22.34,22.02,22.15,61800
66,2024-09-18,21.89,22.49,21.8,21.86,59400
67,2024-09-17,21.96,22.09,21.93,21.97,25500
68,2024-09-16,22.1,22.1,21.87,21.99,8000
69,2024-09-13,21.96,22.15,21.96,22.07,29500
70,2024-09-12,21.32,21.77,21.32,21.73,8300
71,2024-09-11,20.46,20.86,20.46,20.86,37900
72,2024-09-10,20.39,20.7,20.36,20.7,9800
73,2024-09-09,20.28,20.45,20.28,20.38,12400
74,2024-09-06,20.51,20.59,20.18,20.19,19500
75,2024-09-05,20.8,20.92,20.58,20.59,24300
76,2024-09-04,20.54,20.74,20.52,20.53,52500
77,2024-09-03,21.22,21.22,20.59,20.65,44200
78,2024-08-30,21.57,21.57,21.36,21.52,36200
79,2024-08-29,21.58,21.58,21.47,21.47,15100
80,2024-08-28,21.25,21.32,21.15,21.32,35100
81,2024-08-27,21.65,21.75,21.62,21.75,3300
82,2024-08-26,21.96,22.01,21.79,21.85,6200
83,2024-08-23,21.85,21.9,21.79,21.86,3700
84,2024-08-22,21.78,21.78,21.53,21.59,78100
85,2024-08-21,21.81,21.97,21.73,21.95,41300
86,2024-08-20,21.84,22.01,21.71,21.79,110600
87,2024-08-19,21.34,21.73,21.34,21.7,64200
88,2024-08-16,21.2,21.4,21.15,21.4,43500
89,2024-08-15,21.0,21.13,20.81,21.06,11300
90,2024-08-14,20.8,20.8,20.54,20.75,9900
91,2024-08-13,20.71,20.94,20.71,20.89,172300
92,2024-08-12,20.26,20.76,20.26,20.76,17800
93,2024-08-09,19.78,20.02,19.76,20.01,29500
94,2024-08-08,19.61,19.9,19.61,19.81,11900
95,2024-08-07,20.28,20.3,19.52,19.52,22300
96,2024-08-06,20.07,20.25,19.89,20.1,21000
97,2024-08-02,21.17,21.23,20.55,20.59,12000
98,2024-08-01,21.6,21.6,20.99,21.2,60800
99,2024-07-31,21.51,21.73,21.44,21.67,8300
100,2024-07-30,21.24,21.26,21.05,21.25,50500
101,2024-07-29,21.06,21.15,20.9,21.15,7700
102,2024-07-26,21.03,21.1,20.92,21.04,25400
103,2024-07-25,20.71,20.93,20.58,20.87,9500
104,2024-07-24,21.4,21.52,21.1,21.1,16200
105,2024-07-23,21.1,21.2,21.09,21.19,14100
106,2024-07-22,21.13,21.17,21.0,21.14,48000
107,2024-07-19,20.79,21.19,20.79,21.19,4300
108,2024-07-18,21.45,21.5,21.12,21.19,19300
109,2024-07-17,21.88,22.0,21.64,21.64,13600
110,2024-07-16,21.53,21.94,21.51,21.94,13900
111,2024-07-15,21.6,21.69,21.52,21.52,11200
112,2024-07-12,21.31,21.6,21.31,21.56,10500
113,2024-07-11,21.27,21.36,21.06,21.35,9800
114,2024-07-10,20.61,20.96,20.61,20.96,4400
115,2024-07-09,20.51,20.55,20.41,20.51,28000
116,2024-07-08,20.48,20.5,20.28,20.5,19700
117,2024-07-05,20.67,20.81,20.65,20.67,40500
