Canadian Interest Rates


Weekly (Friday) series: 2020-01-03 - 2024-12-13
Weekly effective household interest rate = Weekly effective household interest rate
Weekly effective business interest rate = Weekly effective business interest rate

Summary,Date,Weekly effective household interest rate,Date,Weekly effective business interest rate
Low,2021-03-05,2.47,2021-01-29,2.16
High,2023-11-10,6.96,2023-10-20,6.89
Average,2020-01-03 - 2024-12-13,4.53,2020-01-03 - 2024-12-13,4.37

Date,Weekly effective household interest rate,Weekly effective business interest rate
2024-12-13, 6.09, 5.40
2024-12-06, 6.05, 5.39
2024-11-29, 6.04, 5.44
2024-11-22, 6.00, 5.52
2024-11-15, 5.99, 5.48
2024-11-08, 5.99, 5.48
2024-11-01, 6.00, 5.49
2024-10-25, 6.07, 5.66
2024-10-18, 6.21, 5.75
2024-10-11, 6.20, 5.79
2024-10-04, 6.21, 5.77
2024-09-27, 6.23, 5.72
2024-09-20, 6.26, 5.64
2024-09-13, 6.29, 5.75
2024-09-06, 6.33, 5.88
2024-08-30, 6.39, 5.99
2024-08-23, 6.38, 5.97
2024-08-16, 6.39, 5.98
2024-08-09, 6.44, 6.01
2024-08-02, 6.46, 5.99
2024-07-26, 6.50, 6.17
2024-07-19, 6.55, 6.24
2024-07-12, 6.53, 6.27
2024-07-05, 6.54, 6.31
2024-06-28, 6.56, 6.29
2024-06-21, 6.56, 6.25
2024-06-14, 6.58, 6.26
2024-06-07, 6.62, 6.38
2024-05-31, 6.67, 6.50
2024-05-24, 6.68, 6.49
2024-05-17, 6.68, 6.50
2024-05-10, 6.68, 6.50
2024-05-03, 6.68, 6.51
2024-04-26, 6.67, 6.53
2024-04-19, 6.65, 6.52
2024-04-12, 6.65, 6.47
2024-04-05, 6.65, 6.45
2024-03-29, 6.65, 6.44
2024-03-22, 6.64, 6.45
2024-03-15, 6.63, 6.48
2024-03-08, 6.66, 6.44
2024-03-01, 6.65, 6.47
2024-02-23, 6.64, 6.48
2024-02-16, 6.63, 6.51
2024-02-09, 6.63, 6.50
2024-02-02, 6.67, 6.46
2024-01-26, 6.65, 6.50
2024-01-19, 6.63, 6.50
2024-01-12, 6.67, 6.45
2024-01-05, 6.64, 6.46
2023-12-29, 6.69, 6.41
2023-12-22, 6.73, 6.44
2023-12-15, 6.80, 6.47
2023-12-08, 6.86, 6.54
2023-12-01, 6.89, 6.59
2023-11-24, 6.91, 6.71
2023-11-17, 6.92, 6.73
2023-11-10, 6.96, 6.77
2023-11-03, 6.95, 6.78
2023-10-27, 6.94, 6.85
2023-10-20, 6.90, 6.89
2023-10-13, 6.86, 6.86
2023-10-06, 6.83, 6.88
2023-09-29, 6.78, 6.84
2023-09-22, 6.76, 6.81
2023-09-15, 6.73, 6.75
2023-09-08, 6.75, 6.73
2023-09-01, 6.75, 6.71
2023-08-25, 6.72, 6.78
2023-08-18, 6.65, 6.76
2023-08-11, 6.63, 6.72
2023-08-04, 6.60, 6.72
2023-07-28, 6.55, 6.72
2023-07-21, 6.53, 6.70
2023-07-14, 6.49, 6.62
2023-07-07, 6.36, 6.60
2023-06-30, 6.33, 6.51
2023-06-23, 6.29, 6.54
2023-06-16, 6.23, 6.52
2023-06-09, 6.09, 6.43
2023-06-02, 5.97, 6.33
2023-05-26, 5.91, 6.32
2023-05-19, 5.90, 6.25
2023-05-12, 5.89, 6.18
2023-05-05, 5.88, 6.17
2023-04-28, 5.87, 6.19
2023-04-21, 5.87, 6.23
2023-04-14, 5.89, 6.24
2023-04-07, 5.90, 6.17
2023-03-31, 5.93, 6.23
2023-03-24, 5.98, 6.16
2023-03-17, 6.03, 6.15
2023-03-10, 5.96, 6.23
2023-03-03, 5.90, 6.29
2023-02-24, 5.87, 6.29
2023-02-17, 5.83, 6.24
2023-02-10, 5.81, 6.19
2023-02-03, 5.82, 6.14
2023-01-27, 5.83, 6.05
2023-01-20, 5.75, 5.99
2023-01-13, 5.72, 6.05
2023-01-06, 5.70, 6.12
2022-12-30, 5.70, 6.15
2022-12-23, 5.72, 6.08
2022-12-16, 5.75, 6.00
2022-12-09, 5.73, 5.86
2022-12-02, 5.64, 5.77
2022-11-25, 5.65, 5.82
2022-11-18, 5.69, 5.89
2022-11-11, 5.70, 5.92
2022-11-04, 5.72, 5.97
2022-10-28, 5.56, 5.74
2022-10-21, 5.40, 5.71
2022-10-14, 5.30, 5.66
2022-10-07, 5.25, 5.60
2022-09-30, 5.18, 5.54
2022-09-23, 5.18, 5.46
2022-09-16, 5.15, 5.45
2022-09-09, 5.07, 5.16
2022-09-02, 4.89, 4.96
2022-08-26, 4.87, 4.92
2022-08-19, 4.86, 4.85
2022-08-12, 4.89, 4.80
2022-08-05, 4.93, 4.80
2022-07-29, 4.91, 4.79
2022-07-22, 4.93, 4.87
2022-07-15, 4.82, 4.52
2022-07-08, 4.58, 4.29
2022-07-01, 4.57, 4.26
2022-06-24, 4.52, 4.26
2022-06-17, 4.44, 4.28
2022-06-10, 4.29, 4.17
2022-06-03, 4.20, 3.85
2022-05-27, 4.03, 3.70
2022-05-20, 4.02, 3.72
2022-05-13, 4.01, 3.71
2022-05-06, 3.93, 3.71
2022-04-29, 3.86, 3.64
2022-04-22, 3.84, 3.62
2022-04-15, 3.64, 3.27
2022-04-08, 3.58, 3.23
2022-04-01, 3.49, 3.20
2022-03-25, 3.39, 3.17
2022-03-18, 3.30, 3.07
2022-03-11, 3.26, 2.96
2022-03-04, 3.05, 2.75
2022-02-25, 2.83, 2.74
2022-02-18, 2.81, 2.72
2022-02-11, 2.81, 2.68
2022-02-04, 2.79, 2.64
2022-01-28, 2.78, 2.60
2022-01-21, 2.75, 2.59
2022-01-14, 2.75, 2.56
2022-01-07, 2.75, 2.53
2021-12-31, 2.74, 2.47
2021-12-24, 2.72, 2.46
2021-12-17, 2.69, 2.44
2021-12-10, 2.66, 2.48
2021-12-03, 2.65, 2.47
2021-11-26, 2.65, 2.47
2021-11-19, 2.66, 2.48
2021-11-12, 2.62, 2.47
2021-11-05, 2.60, 2.46
2021-10-29, 2.58, 2.47
2021-10-22, 2.56, 2.44
2021-10-15, 2.56, 2.42
2021-10-08, 2.55, 2.40
2021-10-01, 2.53, 2.37
2021-09-24, 2.53, 2.33
2021-09-17, 2.54, 2.31
2021-09-10, 2.54, 2.29
2021-09-03, 2.55, 2.29
2021-08-27, 2.56, 2.28
2021-08-20, 2.56, 2.27
2021-08-13, 2.56, 2.29
2021-08-06, 2.57, 2.28
2021-07-30, 2.57, 2.26
2021-07-23, 2.57, 2.26
2021-07-16, 2.57, 2.29
2021-07-09, 2.57, 2.30
2021-07-02, 2.57, 2.31
2021-06-25, 2.57, 2.31
2021-06-18, 2.57, 2.30
2021-06-11, 2.57, 2.28
2021-06-04, 2.57, 2.30
2021-05-28, 2.57, 2.29
2021-05-21, 2.57, 2.31
2021-05-14, 2.57, 2.31
2021-05-07, 2.56, 2.30
2021-04-30, 2.56, 2.30
2021-04-23, 2.56, 2.30
2021-04-16, 2.56, 2.30
2021-04-09, 2.57, 2.31
2021-04-02, 2.57, 2.32
2021-03-26, 2.57, 2.31
2021-03-19, 2.55, 2.33
2021-03-12, 2.50, 2.31
2021-03-05, 2.47, 2.30
2021-02-26, 2.48, 2.29
2021-02-19, 2.49, 2.23
2021-02-12, 2.49, 2.19
2021-02-05, 2.49, 2.19
2021-01-29, 2.52, 2.16
2021-01-22, 2.54, 2.17
2021-01-15, 2.54, 2.18
2021-01-08, 2.54, 2.20
2021-01-01, 2.54, 2.20
2020-12-25, 2.55, 2.21
2020-12-18, 2.56, 2.23
2020-12-11, 2.57, 2.24
2020-12-04, 2.59, 2.26
2020-11-27, 2.62, 2.26
2020-11-20, 2.64, 2.29
2020-11-13, 2.64, 2.31
2020-11-06, 2.64, 2.34
2020-10-30, 2.64, 2.34
2020-10-23, 2.65, 2.33
2020-10-16, 2.66, 2.34
2020-10-09, 2.67, 2.35
2020-10-02, 2.67, 2.35
2020-09-25, 2.68, 2.34
2020-09-18, 2.69, 2.33
2020-09-11, 2.69, 2.35
2020-09-04, 2.72, 2.34
2020-08-28, 2.76, 2.36
2020-08-21, 2.79, 2.36
2020-08-14, 2.82, 2.38
2020-08-07, 2.83, 2.36
2020-07-31, 2.84, 2.39
2020-07-24, 2.85, 2.43
2020-07-17, 2.88, 2.47
2020-07-10, 2.90, 2.50
2020-07-03, 2.91, 2.52
2020-06-26, 2.92, 2.51
2020-06-19, 2.93, 2.51
2020-06-12, 2.97, 2.53
2020-06-05, 3.00, 2.62
2020-05-29, 3.00, 2.66
2020-05-22, 3.03, 2.71
2020-05-15, 3.05, 2.71
2020-05-08, 3.07, 2.70
2020-05-01, 3.12, 2.75
2020-04-24, 3.13, 2.77
2020-04-17, 3.13, 2.81
2020-04-10, 3.13, 3.04
2020-04-03, 3.15, 3.08
2020-03-27, 3.25, 3.41
2020-03-20, 3.24, 3.33
2020-03-13, 3.47, 3.14
2020-03-06, 3.54, 3.14
2020-02-28, 3.69, 3.36
2020-02-21, 3.70, 3.39
2020-02-14, 3.70, 3.42
2020-02-07, 3.71, 3.42
2020-01-31, 3.72, 3.40
2020-01-24, 3.72, 3.43
2020-01-17, 3.72, 3.49
2020-01-10, 3.72, 3.51
2020-01-03, 3.71, 3.52


Weekly (Thursday) series: 2020-01-02 - 2024-12-19
Estimated variable mortgage rate  = Estimated variable mortgage rate 

Summary,Date,Estimated variable mortgage rate 
Low,2021-12-09,1.26
High,2024-04-04,6.31
Average,2020-01-02 - 2024-12-19,3.69

Date,Estimated variable mortgage rate 
2024-12-19, 4.51
2024-12-12, 5.02
2024-12-05, 5.01
2024-11-28, 5.01
2024-11-21, 5.01
2024-11-14, 5.01
2024-11-07, 4.99
2024-10-31, 4.99
2024-10-24, 5.24
2024-10-17, 5.43
2024-10-10, 5.44
2024-10-03, 5.44
2024-09-26, 5.44
2024-09-19, 5.44
2024-09-12, 5.44
2024-09-05, 5.61
2024-08-29, 5.66
2024-08-22, 5.64
2024-08-15, 5.63
2024-08-08, 5.65
2024-08-01, 5.77
2024-07-25, 5.93
2024-07-18, 5.93
2024-07-11, 5.93
2024-07-04, 5.93
2024-06-27, 5.93
2024-06-20, 5.93
2024-06-13, 5.93
2024-06-06, 6.10
2024-05-30, 6.18
2024-05-23, 6.18
2024-05-16, 6.21
2024-05-09, 6.21
2024-05-02, 6.26
2024-04-25, 6.26
2024-04-18, 6.26
2024-04-11, 6.26
2024-04-04, 6.31
2024-03-28, 6.31
2024-03-21, 6.25
2024-03-14, 6.24
2024-03-07, 6.25
2024-02-29, 6.25
2024-02-22, 6.19
2024-02-15, 6.18
2024-02-08, 6.24
2024-02-01, 6.25
2024-01-25, 6.26
2024-01-18, 6.24
2024-01-11, 6.25
2024-01-04, 6.09
2023-12-28, 6.26
2023-12-21, 6.26
2023-12-14, 6.25
2023-12-07, 6.26
2023-11-30, 6.27
2023-11-23, 6.27
2023-11-16, 6.28
2023-11-09, 6.28
2023-11-02, 6.28
2023-10-26, 6.28
2023-10-19, 6.28
2023-10-12, 6.23
2023-10-05, 6.23
2023-09-28, 6.23
2023-09-21, 6.23
2023-09-14, 6.14
2023-09-07, 6.14
2023-08-31, 6.28
2023-08-24, 6.28
2023-08-17, 6.23
2023-08-10, 6.24
2023-08-03, 6.24
2023-07-27, 6.19
2023-07-20, 6.19
2023-07-13, 5.98
2023-07-06, 5.98
2023-06-29, 5.99
2023-06-22, 6.04
2023-06-15, 6.04
2023-06-08, 5.72
2023-06-01, 5.72
2023-05-25, 5.70
2023-05-18, 5.70
2023-05-11, 5.70
2023-05-04, 5.70
2023-04-27, 5.70
2023-04-20, 5.70
2023-04-13, 5.70
2023-04-06, 5.76
2023-03-30, 5.76
2023-03-23, 5.86
2023-03-16, 5.78
2023-03-09, 5.78
2023-03-02, 5.64
2023-02-23, 5.73
2023-02-16, 5.73
2023-02-09, 5.69
2023-02-02, 5.69
2023-01-26, 5.64
2023-01-19, 5.53
2023-01-12, 5.53
2023-01-05, 5.53
2022-12-29, 5.45
2022-12-22, 5.45
2022-12-15, 5.45
2022-12-08, 5.45
2022-12-01, 5.12
2022-11-24, 4.97
2022-11-17, 5.03
2022-11-10, 5.03
2022-11-03, 5.05
2022-10-27, 4.85
2022-10-20, 4.53
2022-10-13, 4.50
2022-10-06, 4.53
2022-09-29, 4.53
2022-09-22, 4.53
2022-09-15, 4.41
2022-09-08, 4.06
2022-09-01, 3.81
2022-08-25, 3.81
2022-08-18, 3.79
2022-08-11, 3.79
2022-08-04, 3.79
2022-07-28, 3.79
2022-07-21, 3.65
2022-07-14, 3.19
2022-07-07, 2.83
2022-06-30, 2.81
2022-06-23, 2.68
2022-06-16, 2.64
2022-06-09, 2.64
2022-06-02, 2.21
