DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.

Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
1991-12-31,10.316,,
1992-12-31,11.197,0.88,
1993-12-31,11.377,0.18,
1994-12-31,10.395,-0.98,
1995-12-31,9.489,-0.91,
1996-12-31,9.62,0.13,
1997-12-31,9.101,-0.52,
1998-12-31,8.279,-0.82,
1999-12-31,7.583,-0.7,
2000-12-31,6.829,-0.75,
2001-12-31,7.219,0.39,
2002-12-31,7.665,0.45,
2003-12-31,7.574,-0.09,
2004-12-31,7.185,-0.39,
2005-12-31,6.758,-0.43,
2006-12-31,6.484,-0.27,
2007-12-31,6.156,-0.33,
2008-12-31,6.284,0.13,
2009-12-31,8.46,2.18,
2010-12-31,8.178,-0.28,
2011-12-31,7.637,-0.54,
2012-12-31,7.392,-0.24,
2013-12-31,7.143,-0.25,
2014-12-31,7.023,-0.12,
2015-12-31,6.945,-0.08,
2016-12-31,7.038,0.09,
2017-12-31,6.426,-0.61,
2018-12-31,5.837,-0.59,
2019-12-31,5.69,-0.15,
2020-12-31,9.657,3.97,
2021-12-31,7.527,-2.13,
2022-12-31,5.28,-2.25,
2023-12-31,5.366,0.09,
