DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.

Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
1961-12-31,3.1633,,
1962-12-31,7.4278,4.26,
1963-12-31,5.2974,-2.13,
1964-12-31,6.656,1.36,
1965-12-31,6.3172,-0.34,
1966-12-31,6.7597,0.44,
1967-12-31,3.0654,-3.69,
1968-12-31,5.0083,1.94,
1969-12-31,5.067,0.06,
1970-12-31,2.9187,-2.15,
1971-12-31,4.0188,1.1,
1972-12-31,5.5197,1.5,
1973-12-31,6.7286,1.21,
1974-12-31,3.3578,-3.37,
1975-12-31,1.5454,-1.81,
1976-12-31,5.8893,4.34,
1977-12-31,3.5348,-2.35,
1978-12-31,3.736,0.2,
1979-12-31,3.7252,-0.01,
1980-12-31,2.1772,-1.55,
1981-12-31,3.4151,1.24,
1982-12-31,-3.1662,-6.58,
1983-12-31,2.5623,5.73,
1984-12-31,5.8986,3.34,
1985-12-31,4.7377,-1.16,
1986-12-31,2.1215,-2.62,
1987-12-31,4.072,1.95,
1988-12-31,4.4108,0.34,
1989-12-31,2.3373,-2.07,
1990-12-31,0.2029,-2.13,
1991-12-31,-2.0911,-2.29,
1992-12-31,0.8905,2.98,
1993-12-31,2.6577,1.77,
1994-12-31,4.494,1.84,
1995-12-31,2.6823,-1.81,
1996-12-31,1.689,-0.99,
1997-12-31,4.2802,2.59,
1998-12-31,3.8929,-0.39,
1999-12-31,5.141,1.25,
2000-12-31,5.1385,0,
2001-12-31,1.8751,-3.26,
2002-12-31,2.9993,1.12,
2003-12-31,1.8064,-1.19,
2004-12-31,3.0924,1.29,
2005-12-31,3.2105,0.12,
2006-12-31,2.6379,-0.57,
2007-12-31,2.0499,-0.59,
2008-12-31,0.9954,-1.05,
2009-12-31,-2.9151,-3.91,
2010-12-31,3.0908,6.01,
2011-12-31,3.1372,0.05,
2012-12-31,1.7557,-1.38,
2013-12-31,2.3258,0.57,
2014-12-31,2.8735,0.55,
2015-12-31,0.65,-2.22,
2016-12-31,1.0386,0.39,
2017-12-31,3.0338,2,
2018-12-31,2.743,-0.29,
2019-12-31,1.9084,-0.83,
2020-12-31,-5.0382,-6.95,
2021-12-31,5.287,10.33,
2022-12-31,3.8199,-1.47,
2023-12-31,1.066,-2.75,
